Number of RAW groups = 13

RAW no.             |  RawControl          SlotCrossBoundary   SlotFormat          SlotDurationCount   SlotNum             PageIndex           AidStart            AidEnd              
0                   |  88                  1                   0                   80                  1                   0                   2                   2                   
1                   |  88                  1                   0                   10                  1                   0                   1                   1                   
2                   |  88                  1                   0                   80                  1                   0                   2                   2                   
3                   |  88                  1                   0                   10                  1                   0                   1                   1                   
4                   |  88                  1                   0                   20                  1                   0                   2                   2                   
5                   |  88                  1                   0                   70                  1                   0                   1                   1                   
6                   |  88                  1                   0                   20                  1                   0                   2                   2                   
7                   |  88                  1                   0                   101                 1                   0                   1                   1                   
8                   |  88                  1                   0                   10                  1                   0                   2                   2                   
9                   |  88                  1                   0                   60                  1                   0                   1                   1                   
10                  |  88                  1                   0                   10                  1                   0                   2                   2                   
11                  |  88                  1                   0                   101                 1                   0                   1                   1                   
12                  |  88                  1                   0                   10                  1                   0                   2                   2                   
